source,target,weight
germany,united kingdom,4
iran,united states,3
france,united kingdom,3
china,japan,2
austria,sweden,2
finland,sweden,2
austria,hungary,2
denmark,norway,2
austria,finland,2
france,germany,2
poland,russia,2
france,netherlands,1
austria,russia,1
belgium,denmark,1
belgium,france,1
belgium,netherlands,1
belgium,norway,1
brazil,china,1
canada,egypt,1
canada,finland,1
china,italy,1
denmark,france,1
china,portugal,1
china,russia,1
china,south africa,1
czechoslovakia,germany,1
austria,france,1
denmark,ireland,1
denmark,netherlands,1
denmark,sweden,1
egypt,israel,1
finland,soviet union,1
austria,germany,1
italy,united kingdom,1
china,hungary,1
hungary,russia,1
norway,sweden,1
germany,united states,1
switzerland,united kingdom,1
portugal,united states,1
france,united states,1
germany,italy,1
germany,poland,1
germany,switzerland,1
portugal,spain,1
netherlands,norway,1
france,norway,1
india,pakistan,1
india,united kingdom,1
iran,poland,1
france,poland,1
poland,united kingdom,1
italy,thailand,1
italy,united states,1
iran,south korea,1
austria,china,1
united kingdom,united states,1
