sent_id,sentence,entity
1,"1900s
1901
January 1 : The Australian colonies federate .
",Australian
2,"January 22 : Edward VII became King of England and India after Queen Victoria 's death.
",India
3,"March 2 : The Platt Amendment provides for Cuban independence in exchange for the withdrawal of American troops.
",Cuban
3,"March 2 : The Platt Amendment provides for Cuban independence in exchange for the withdrawal of American troops.
",American
4,"June : Emily Hobhouse reports on the poor conditions in 45 British internment camps for Boer women and children in South Africa .
September 6 : The assassination of William McKinley ushered in office Vice President Theodore Roosevelt after McKinley's death on September 14.
September 7 : The Eight-Nation Alliance defeats the Boxer Rebellion , and imposes heavy financial penalties on China .
",McKinley
4,"June : Emily Hobhouse reports on the poor conditions in 45 British internment camps for Boer women and children in South Africa .
September 6 : The assassination of William McKinley ushered in office Vice President Theodore Roosevelt after McKinley's death on September 14.
September 7 : The Eight-Nation Alliance defeats the Boxer Rebellion , and imposes heavy financial penalties on China .
",China
4,"June : Emily Hobhouse reports on the poor conditions in 45 British internment camps for Boer women and children in South Africa .
September 6 : The assassination of William McKinley ushered in office Vice President Theodore Roosevelt after McKinley's death on September 14.
September 7 : The Eight-Nation Alliance defeats the Boxer Rebellion , and imposes heavy financial penalties on China .
",British
4,"June : Emily Hobhouse reports on the poor conditions in 45 British internment camps for Boer women and children in South Africa .
September 6 : The assassination of William McKinley ushered in office Vice President Theodore Roosevelt after McKinley's death on September 14.
September 7 : The Eight-Nation Alliance defeats the Boxer Rebellion , and imposes heavy financial penalties on China .
",South Africa
8,"May 20 : Cuba given independence by the United States.
",Cuba
8,"May 20 : Cuba given independence by the United States.
",the United States
9,"May 31 : Second Boer War ends in British victory.
",British
10,"July 12 : Arthur Balfour becomes Prime Minister of the United Kingdom .
",the United Kingdom
12,"Venezuelan crisis of 1902–1903 , in which Britain, Germany and Italy impose a naval blockade on Venezuela in order to enforce collection of outstanding financial claims.
",Venezuela
12,"Venezuelan crisis of 1902–1903 , in which Britain, Germany and Italy impose a naval blockade on Venezuela in order to enforce collection of outstanding financial claims.
",Britain
12,"Venezuelan crisis of 1902–1903 , in which Britain, Germany and Italy impose a naval blockade on Venezuela in order to enforce collection of outstanding financial claims.
",Venezuelan
12,"Venezuelan crisis of 1902–1903 , in which Britain, Germany and Italy impose a naval blockade on Venezuela in order to enforce collection of outstanding financial claims.
",Italy
12,"Venezuelan crisis of 1902–1903 , in which Britain, Germany and Italy impose a naval blockade on Venezuela in order to enforce collection of outstanding financial claims.
",Germany
13,"1903
February 15 : The first teddy bear is invented.
June 11 : King Alexander I of Serbia and his wife Queen Draga are assassinated in a military coup .
July 1 : The first Tour de France is held.
July – August :",Serbia
14,"In Russia the Bolsheviks and the Mensheviks form from the breakup of the Russian Social Democratic Labour Party .
August 4 : Pius X becomes Pope .
November 18 : Independence of Panama , the Hay–Bunau-Varilla Treaty is signed by the United States and Panama .
",Russia
14,"In Russia the Bolsheviks and the Mensheviks form from the breakup of the Russian Social Democratic Labour Party .
August 4 : Pius X becomes Pope .
November 18 : Independence of Panama , the Hay–Bunau-Varilla Treaty is signed by the United States and Panama .
",Panama
14,"In Russia the Bolsheviks and the Mensheviks form from the breakup of the Russian Social Democratic Labour Party .
August 4 : Pius X becomes Pope .
November 18 : Independence of Panama , the Hay–Bunau-Varilla Treaty is signed by the United States and Panama .
",Bolsheviks
14,"In Russia the Bolsheviks and the Mensheviks form from the breakup of the Russian Social Democratic Labour Party .
August 4 : Pius X becomes Pope .
November 18 : Independence of Panama , the Hay–Bunau-Varilla Treaty is signed by the United States and Panama .
",the United States
14,"In Russia the Bolsheviks and the Mensheviks form from the breakup of the Russian Social Democratic Labour Party .
August 4 : Pius X becomes Pope .
November 18 : Independence of Panama , the Hay–Bunau-Varilla Treaty is signed by the United States and Panama .
",Mensheviks
16,"The Ottoman Empire and the German Empire sign an agreement to build the Berlin–Baghdad railway .
",German
16,"The Ottoman Empire and the German Empire sign an agreement to build the Berlin–Baghdad railway .
",The Ottoman Empire
16,"The Ottoman Empire and the German Empire sign an agreement to build the Berlin–Baghdad railway .
",Baghdad
16,"The Ottoman Empire and the German Empire sign an agreement to build the Berlin–Baghdad railway .
",Berlin
17,"1904
February 8 : A Japanese surprise attack on Port Arthur (Lushun) starts the Russo-Japanese War .
April 8 : Entente Cordiale signed between Britain and France.
",Lushun
17,"1904
February 8 : A Japanese surprise attack on Port Arthur (Lushun) starts the Russo-Japanese War .
April 8 : Entente Cordiale signed between Britain and France.
",Britain
17,"1904
February 8 : A Japanese surprise attack on Port Arthur (Lushun) starts the Russo-Japanese War .
April 8 : Entente Cordiale signed between Britain and France.
",France
17,"1904
February 8 : A Japanese surprise attack on Port Arthur (Lushun) starts the Russo-Japanese War .
April 8 : Entente Cordiale signed between Britain and France.
",Japanese
18,"May : U.S. begins construction of the Panama Canal and eradication of yellow fever .
",U.S.
18,"May : U.S. begins construction of the Panama Canal and eradication of yellow fever .
",the Panama Canal
20,"Herero and Nama genocide , the first genocide of the 20th century, begins in German South West Africa .
",German
20,"Herero and Nama genocide , the first genocide of the 20th century, begins in German South West Africa .
",South West Africa
20,"Herero and Nama genocide , the first genocide of the 20th century, begins in German South West Africa .
",Nama
21,"Roger Casement publishes his account of Belgian atrocities in the Congo Free State .
",Belgian
22,"1905
January 22 : The Revolution of 1905 in Russia erupts.
",Russia
23,"March 31 : The First Moroccan Crisis begins, going until April 1906.
June 7 : The Norwegian Parliament declares the union with Sweden dissolved , and Norway achieves full independence.
",Sweden
23,"March 31 : The First Moroccan Crisis begins, going until April 1906.
June 7 : The Norwegian Parliament declares the union with Sweden dissolved , and Norway achieves full independence.
",Norway
23,"March 31 : The First Moroccan Crisis begins, going until April 1906.
June 7 : The Norwegian Parliament declares the union with Sweden dissolved , and Norway achieves full independence.
",Norwegian
24,"September 5 : The Russo-Japanese War ends in Japanese victory.
September 26 :",Japanese
26,"October 16 : The British Indian Province of Bengal , partitioned by the Viceroy of India , Lord Curzon , despite strong opposition.
",British
26,"October 16 : The British Indian Province of Bengal , partitioned by the Viceroy of India , Lord Curzon , despite strong opposition.
",Bengal
27,"December 5 : Liberal Henry Campbell-Bannerman becomes Prime Minister of the United Kingdom.
",the United Kingdom
28,"Schlieffen Plan proposed in Berlin to defeat France.
",France
28,"Schlieffen Plan proposed in Berlin to defeat France.
",Berlin
30,"1906
April 18 : An earthquake in San Francisco, California , magnitude 7.9, kills 3,000.
July 13 : Alfred Dreyfus is exonerated and reinstated as a major in the French Army; the Dreyfus affair ends.
",San Francisco
30,"1906
April 18 : An earthquake in San Francisco, California , magnitude 7.9, kills 3,000.
July 13 : Alfred Dreyfus is exonerated and reinstated as a major in the French Army; the Dreyfus affair ends.
",Dreyfus
30,"1906
April 18 : An earthquake in San Francisco, California , magnitude 7.9, kills 3,000.
July 13 : Alfred Dreyfus is exonerated and reinstated as a major in the French Army; the Dreyfus affair ends.
",California
31,"August 16 : An earthquake in Valparaíso, Chile , magnitude 8.2, kills 20,000.
",Valparaíso
31,"August 16 : An earthquake in Valparaíso, Chile , magnitude 8.2, kills 20,000.
",Chile
32,"September 28 : The US begins the Second Occupation of Cuba .
October 23 : Brazilian inventor Alberto Santos-Dumont takes off and flies his 14-bis to a crowd in Paris .
",US
32,"September 28 : The US begins the Second Occupation of Cuba .
October 23 : Brazilian inventor Alberto Santos-Dumont takes off and flies his 14-bis to a crowd in Paris .
",Paris
32,"September 28 : The US begins the Second Occupation of Cuba .
October 23 : Brazilian inventor Alberto Santos-Dumont takes off and flies his 14-bis to a crowd in Paris .
",Brazilian
33,"December 30 : The Muslim League is formed by Nawab Salimullah Khan of Dacca .
",Dacca
34,"The Stolypin reform in Russia creates a new class of affluent kulaks .
",Russia
35,"1907
February – April : A peasants' revolt in Romania kills roughly 11,000.
",Romania
36,"March 15 – 16 : Elections to the new Parliament of Finland are the first in the world with woman candidates, as well as the first elections in Europe where universal suffrage is applied.
",Europe
37,"July 24 : Japan–Korea Treaty of 1907 .
",Japan
38,"August 31 : The Anglo-Russian Convention bring an end to the Great Game in Central Asia .
",Central Asia
39,"The Indian National Congress splits into two factions at its Surat session, presided by Rash Behari Bose .
",Surat
41,"Bakelite , the world's first fully synthetic plastic, invented in New York by Leo Baekeland , who coins the term ""plastics"".
",New York
41,"Bakelite , the world's first fully synthetic plastic, invented in New York by Leo Baekeland , who coins the term ""plastics"".
",Leo Baekeland
42,"1908
April 8 : Liberal H. H. Asquith becomes Prime Minister of the United Kingdom.
",the United Kingdom
43,"May 26 : First commercial Middle Eastern oilfield established, at Masjed Soleyman in southwest Persia .
June 30 : The Tunguska event devastates thousands of square kilometres of Siberia.
July : Young Turk Revolution in the Ottoman Empire.
July 26 : Founding of the Bureau of Investigation (BOI)
October 1 : The Ford Motor Company invents the Model T .
",Persia
43,"May 26 : First commercial Middle Eastern oilfield established, at Masjed Soleyman in southwest Persia .
June 30 : The Tunguska event devastates thousands of square kilometres of Siberia.
July : Young Turk Revolution in the Ottoman Empire.
July 26 : Founding of the Bureau of Investigation (BOI)
October 1 : The Ford Motor Company invents the Model T .
",Tunguska
43,"May 26 : First commercial Middle Eastern oilfield established, at Masjed Soleyman in southwest Persia .
June 30 : The Tunguska event devastates thousands of square kilometres of Siberia.
July : Young Turk Revolution in the Ottoman Empire.
July 26 : Founding of the Bureau of Investigation (BOI)
October 1 : The Ford Motor Company invents the Model T .
",the Ottoman Empire
43,"May 26 : First commercial Middle Eastern oilfield established, at Masjed Soleyman in southwest Persia .
June 30 : The Tunguska event devastates thousands of square kilometres of Siberia.
July : Young Turk Revolution in the Ottoman Empire.
July 26 : Founding of the Bureau of Investigation (BOI)
October 1 : The Ford Motor Company invents the Model T .
",Siberia
43,"May 26 : First commercial Middle Eastern oilfield established, at Masjed Soleyman in southwest Persia .
June 30 : The Tunguska event devastates thousands of square kilometres of Siberia.
July : Young Turk Revolution in the Ottoman Empire.
July 26 : Founding of the Bureau of Investigation (BOI)
October 1 : The Ford Motor Company invents the Model T .
",Middle Eastern
44,"early October : Austria-Hungary annexes Bosnia-Herzegovina , triggering the Bosnian Crisis .
",Bosnia-Herzegovina
44,"early October : Austria-Hungary annexes Bosnia-Herzegovina , triggering the Bosnian Crisis .
",Hungary
44,"early October : Austria-Hungary annexes Bosnia-Herzegovina , triggering the Bosnian Crisis .
",Austria
45,"October 5 : Bulgarian Declaration of Independence .
",Bulgarian
46,"December 2 : Puyi , the last Emperor of China , assumes the throne.
",China
47,"December 28 : The 1908 Messina earthquake in southern Italy, magnitude 7.1, kills 70,000 people.
",Italy
47,"December 28 : The 1908 Messina earthquake in southern Italy, magnitude 7.1, kills 70,000 people.
",Messina
48,"Herero and Nama genocide ends.
",Nama
51,"1909
March 4 : William Howard Taft is inaugurated as President of the United States; deep divisions in his Republican Party over tariffs.
",the United States
53,"March 12 : Indian Councils Act passed.
April 6 : Robert Peary claims to have reached the North Pole though the claim is subsequently heavily contested.
April 13 : A countercoup fails in the Ottoman Empire.
",the Ottoman Empire
53,"March 12 : Indian Councils Act passed.
April 6 : Robert Peary claims to have reached the North Pole though the claim is subsequently heavily contested.
April 13 : A countercoup fails in the Ottoman Empire.
",the North Pole
55,"Japan and China sign the Jiandao/Gando Treaty .
",Japan
55,"Japan and China sign the Jiandao/Gando Treaty .
",China
56,"United States troops leave Cuba.
",Cuba
56,"United States troops leave Cuba.
",United States
58,"May – July : Albanian revolt of 1910 .
",Albanian
59,"May 6 : George V becomes King of the United Kingdom and the British Dominions and Emperor of India upon the death of Edward VII .
",the United Kingdom
59,"May 6 : George V becomes King of the United Kingdom and the British Dominions and Emperor of India upon the death of Edward VII .
",India
61,"August 28 : Kingdom of Montenegro is proclaimed independent.
",Montenegro
62,"August 29 : Imperial Japan annexes Korea .
",Korea
63,"October 5 : The 5 October 1910 revolution in Portugal and proclamation of the First Portuguese Republic .
",Portugal
65,"1911
January 18 : Eugene Burton Ely lands on the deck of the USS Pennsylvania stationed in San Francisco harbor, marking the first time an aircraft lands on a ship.
",San Francisco
66,"March 25 : Triangle Shirtwaist Factory fire in New York City results in the deaths of 146 workers and leads to sweeping workplace safety reforms.
April – November : Agadir Crisis .
September 29 : The Italo-Turkish war which led to the capture of Libya by Italy , begins.
October 10 : 1911 Revolution , which overthrew the Qing dynasty of China, begins.
",Libya
66,"March 25 : Triangle Shirtwaist Factory fire in New York City results in the deaths of 146 workers and leads to sweeping workplace safety reforms.
April – November : Agadir Crisis .
September 29 : The Italo-Turkish war which led to the capture of Libya by Italy , begins.
October 10 : 1911 Revolution , which overthrew the Qing dynasty of China, begins.
",Italy
