sent_id,sentence,raw_entities,countries
2,"January 22 : Edward VII became King of England and India after Queen Victoria 's death.
",['India'],['india']
4,"June : Emily Hobhouse reports on the poor conditions in 45 British internment camps for Boer women and children in South Africa .
September 6 : The assassination of William McKinley ushered in office Vice President Theodore Roosevelt after McKinley's death on September 14.
September 7 : The Eight-Nation Alliance defeats the Boxer Rebellion , and imposes heavy financial penalties on China .
","['British', 'South Africa', 'McKinley', 'China']","['china', 'south africa']"
12,"Venezuelan crisis of 1902–1903 , in which Britain, Germany and Italy impose a naval blockade on Venezuela in order to enforce collection of outstanding financial claims.
","['Venezuelan', 'Britain', 'Germany', 'Italy', 'Venezuela']","['germany', 'italy', 'united kingdom']"
14,"In Russia the Bolsheviks and the Mensheviks form from the breakup of the Russian Social Democratic Labour Party .
August 4 : Pius X becomes Pope .
November 18 : Independence of Panama , the Hay–Bunau-Varilla Treaty is signed by the United States and Panama .
","['Russia', 'Bolsheviks', 'Mensheviks', 'Panama', 'the United States', 'Panama']",['russia']
17,"1904
February 8 : A Japanese surprise attack on Port Arthur (Lushun) starts the Russo-Japanese War .
April 8 : Entente Cordiale signed between Britain and France.
","['Japanese', 'Lushun', 'Britain', 'France']","['france', 'united kingdom']"
18,"May : U.S. begins construction of the Panama Canal and eradication of yellow fever .
","['U.S.', 'the Panama Canal']",['united states']
22,"1905
January 22 : The Revolution of 1905 in Russia erupts.
",['Russia'],['russia']
23,"March 31 : The First Moroccan Crisis begins, going until April 1906.
June 7 : The Norwegian Parliament declares the union with Sweden dissolved , and Norway achieves full independence.
","['Norwegian', 'Sweden', 'Norway']","['norway', 'sweden']"
28,"Schlieffen Plan proposed in Berlin to defeat France.
","['Berlin', 'France']",['france']
31,"August 16 : An earthquake in Valparaíso, Chile , magnitude 8.2, kills 20,000.
","['Valparaíso', 'Chile']",['chile']
34,"The Stolypin reform in Russia creates a new class of affluent kulaks .
",['Russia'],['russia']
37,"July 24 : Japan–Korea Treaty of 1907 .
",['Japan'],['japan']
44,"early October : Austria-Hungary annexes Bosnia-Herzegovina , triggering the Bosnian Crisis .
","['Austria', 'Hungary', 'Bosnia-Herzegovina']","['austria', 'hungary']"
46,"December 2 : Puyi , the last Emperor of China , assumes the throne.
",['China'],['china']
47,"December 28 : The 1908 Messina earthquake in southern Italy, magnitude 7.1, kills 70,000 people.
","['Messina', 'Italy']",['italy']
55,"Japan and China sign the Jiandao/Gando Treaty .
","['Japan', 'China']","['china', 'japan']"
56,"United States troops leave Cuba.
","['United States', 'Cuba']",['united states']
59,"May 6 : George V becomes King of the United Kingdom and the British Dominions and Emperor of India upon the death of Edward VII .
","['the United Kingdom', 'India']",['india']
